Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_0_36_9,VGND,li1,7.5900,100.6400,0.000000
FILLER_0_36_6,VGND,li1,6.2100,100.6400,0.000000
FILLER_0_36_3,VGND,li1,4.8300,100.6400,0.000000
FILLER_0_35_278,VGND,li1,131.1000,100.6400,0.000000
FILLER_0_35_176,VGND,li1,84.4100,100.6400,0.000000
FILLER_0_35_161,VGND,li1,77.2800,100.6400,0.000000
FILLER_0_35_158,VGND,li1,76.1300,100.6400,0.000000
FILLER_0_35_152,VGND,li1,73.3700,100.6400,0.000000
FILLER_0_35_136,VGND,li1,65.7800,100.6400,0.000000
FILLER_0_35_122,VGND,li1,59.3400,100.6400,0.000000
FILLER_0_35_116,VGND,li1,56.3500,100.6400,0.000000
FILLER_0_35_113,VGND,li1,55.4300,100.6400,0.000000
FILLER_0_35_69,VGND,li1,35.1900,100.6400,0.000000
FILLER_0_35_66,VGND,li1,33.8100,100.6400,0.000000
FILLER_0_35_63,VGND,li1,32.4300,100.6400,0.000000
FILLER_0_35_60,VGND,li1,31.0500,100.6400,0.000000
FILLER_0_35_57,VGND,li1,29.6700,100.6400,0.000000
FILLER_0_35_54,VGND,li1,28.0600,100.6400,0.000000
FILLER_0_35_51,VGND,li1,26.9100,100.6400,0.000000
FILLER_0_35_48,VGND,li1,25.5300,100.6400,0.000000
FILLER_0_35_45,VGND,li1,24.1500,100.6400,0.000000
FILLER_0_35_42,VGND,li1,22.7700,100.6400,0.000000
FILLER_0_35_39,VGND,li1,21.3900,100.6400,0.000000
FILLER_0_35_36,VGND,li1,20.0100,100.6400,0.000000
FILLER_0_35_33,VGND,li1,18.6300,100.6400,0.000000
FILLER_0_35_30,VGND,li1,17.2500,100.6400,0.000000
FILLER_0_35_27,VGND,li1,15.8700,100.6400,0.000000
FILLER_0_35_24,VGND,li1,14.4900,100.6400,0.000000
FILLER_0_35_21,VGND,li1,13.1100,100.6400,0.000000
FILLER_0_35_18,VGND,li1,11.7300,100.6400,0.000000
FILLER_0_35_15,VGND,li1,10.3500,100.6400,0.000000
FILLER_0_35_12,VGND,li1,8.9700,100.6400,0.000000
FILLER_0_35_9,VGND,li1,7.5900,100.6400,0.000000
FILLER_0_35_6,VGND,li1,6.2100,100.6400,0.000000
FILLER_0_35_3,VGND,li1,4.8300,100.6400,0.000000
FILLER_0_34_334,VGND,li1,156.6300,95.2000,0.000000
FILLER_0_34_286,VGND,li1,134.5500,95.2000,0.000000
FILLER_0_34_195,VGND,li1,92.6900,95.2000,0.000000
FILLER_0_34_192,VGND,li1,91.7700,95.2000,0.000000
FILLER_0_34_179,VGND,li1,85.3300,95.2000,0.000000
FILLER_0_34_176,VGND,li1,84.4100,95.2000,0.000000
FILLER_0_34_170,VGND,li1,81.1900,95.2000,0.000000
FILLER_0_34_167,VGND,li1,80.2700,95.2000,0.000000
FILLER_0_34_164,VGND,li1,78.8900,95.2000,0.000000
FILLER_0_34_161,VGND,li1,77.5100,95.2000,0.000000
FILLER_0_34_158,VGND,li1,76.1300,95.2000,0.000000
FILLER_0_34_155,VGND,li1,74.7500,95.2000,0.000000
FILLER_0_34_152,VGND,li1,73.3700,95.2000,0.000000
FILLER_0_34_149,VGND,li1,71.9900,95.2000,0.000000
FILLER_0_34_133,VGND,li1,64.6300,95.2000,0.000000
FILLER_0_34_130,VGND,li1,63.2500,95.2000,0.000000
FILLER_0_34_121,VGND,li1,59.1100,95.2000,0.000000
FILLER_0_34_118,VGND,li1,57.7300,95.2000,0.000000
FILLER_0_34_115,VGND,li1,56.3500,95.2000,0.000000
FILLER_0_34_112,VGND,li1,54.9700,95.2000,0.000000
FILLER_0_34_109,VGND,li1,53.5900,95.2000,0.000000
FILLER_0_34_106,VGND,li1,52.2100,95.2000,0.000000
FILLER_0_34_103,VGND,li1,50.8300,95.2000,0.000000
FILLER_0_34_100,VGND,li1,49.4500,95.2000,0.000000
FILLER_0_34_97,VGND,li1,48.0700,95.2000,0.000000
FILLER_0_34_94,VGND,li1,46.6900,95.2000,0.000000
FILLER_0_34_91,VGND,li1,45.3100,95.2000,0.000000
FILLER_0_34_83,VGND,li1,41.1700,95.2000,0.000000
FILLER_0_34_80,VGND,li1,40.2500,95.2000,0.000000
FILLER_0_34_77,VGND,li1,38.8700,95.2000,0.000000
FILLER_0_34_74,VGND,li1,37.4900,95.2000,0.000000
FILLER_0_34_71,VGND,li1,36.1100,95.2000,0.000000
FILLER_0_34_68,VGND,li1,34.7300,95.2000,0.000000
FILLER_0_34_65,VGND,li1,33.3500,95.2000,0.000000
FILLER_0_34_59,VGND,li1,30.5900,95.2000,0.000000
FILLER_0_34_56,VGND,li1,29.2100,95.2000,0.000000
FILLER_0_34_53,VGND,li1,27.8300,95.2000,0.000000
FILLER_0_34_50,VGND,li1,26.4500,95.2000,0.000000
FILLER_0_34_47,VGND,li1,25.0700,95.2000,0.000000
FILLER_0_34_44,VGND,li1,23.6900,95.2000,0.000000
FILLER_0_34_41,VGND,li1,22.3100,95.2000,0.000000
FILLER_0_34_38,VGND,li1,20.9300,95.2000,0.000000
FILLER_0_34_35,VGND,li1,19.5500,95.2000,0.000000
FILLER_0_34_32,VGND,li1,18.1700,95.2000,0.000000
FILLER_0_34_29,VGND,li1,16.7900,95.2000,0.000000
FILLER_0_34_27,VGND,li1,15.4100,95.2000,0.000000
FILLER_0_34_24,VGND,li1,14.4900,95.2000,0.000000
FILLER_0_34_21,VGND,li1,13.1100,95.2000,0.000000
FILLER_0_34_18,VGND,li1,11.7300,95.2000,0.000000
FILLER_0_34_15,VGND,li1,10.3500,95.2000,0.000000
FILLER_0_34_12,VGND,li1,8.9700,95.2000,0.000000
FILLER_0_34_9,VGND,li1,7.5900,95.2000,0.000000
FILLER_0_34_6,VGND,li1,6.2100,95.2000,0.000000
FILLER_0_34_3,VGND,li1,4.8300,95.2000,0.000000
FILLER_0_33_279,VGND,li1,131.3300,95.2000,0.000000
FILLER_0_33_243,VGND,li1,114.7700,95.2000,0.000000
FILLER_0_33_225,VGND,li1,106.9500,95.2000,0.000000
FILLER_0_33_197,VGND,li1,93.8400,95.2000,0.000000
FILLER_0_33_158,VGND,li1,75.6700,95.2000,0.000000
FILLER_0_33_155,VGND,li1,74.7500,95.2000,0.000000
FILLER_0_33_152,VGND,li1,73.3700,95.2000,0.000000
FILLER_0_33_149,VGND,li1,71.9900,95.2000,0.000000
FILLER_0_33_146,VGND,li1,70.6100,95.2000,0.000000
FILLER_0_33_143,VGND,li1,69.2300,95.2000,0.000000
FILLER_0_33_140,VGND,li1,67.8500,95.2000,0.000000
FILLER_0_33_134,VGND,li1,64.8600,95.2000,0.000000
FILLER_0_33_125,VGND,li1,60.4900,95.2000,0.000000
FILLER_0_33_122,VGND,li1,59.5700,95.2000,0.000000
FILLER_0_33_116,VGND,li1,56.3500,95.2000,0.000000
FILLER_0_33_113,VGND,li1,55.4300,95.2000,0.000000
FILLER_0_33_109,VGND,li1,53.5900,95.2000,0.000000
FILLER_0_33_99,VGND,li1,48.7600,95.2000,0.000000
FILLER_0_33_96,VGND,li1,47.6100,95.2000,0.000000
FILLER_0_33_81,VGND,li1,40.4800,95.2000,0.000000
FILLER_0_33_78,VGND,li1,39.3300,95.2000,0.000000
FILLER_0_33_62,VGND,li1,31.7400,95.2000,0.000000
